timestamp,BWB_2_HeatMeter_ReturnTemperature_C,BWB_2_HeatMeter_Power_Watt,BWB_2_HeatMeter_VolumeFlow_m3_per_hour,BWB_2_HeatMeter_FlowTemperature_Ce,BWB_2_HeatMeter_TemperatureDifference_K
16-Apr-19 1:15:00 AM CEST,51.00,235600.00,4.62,95.00,44.40
16-Apr-19 1:30:00 AM CEST,50.00,222600.00,4.22,95.00,45.80
16-Apr-19 1:45:00 AM CEST,49.00,231600.00,4.29,95.00,46.90
16-Apr-19 2:00:00 AM CEST,48.00,234900.00,4.29,96.00,47.60
16-Apr-19 2:15:00 AM CEST,48.00,239100.00,4.33,96.00,47.90
16-Apr-19 2:30:00 AM CEST,48.00,236300.00,4.25,97.00,48.30
16-Apr-19 2:45:00 AM CEST,49.00,234300.00,4.23,97.00,48.10
16-Apr-19 3:00:00 AM CEST,48.00,234900.00,4.31,96.00,47.30
16-Apr-19 3:15:00 AM CEST,48.00,230000.00,4.29,95.00,46.60
16-Apr-19 3:30:00 AM CEST,48.00,235400.00,4.43,95.00,46.20
16-Apr-19 3:45:00 AM CEST,50.00,237500.00,4.57,95.00,45.20
16-Apr-19 4:00:00 AM CEST,49.00,238800.00,4.47,96.00,46.40
16-Apr-19 4:15:00 AM CEST,49.00,247300.00,4.56,96.00,47.20
16-Apr-19 4:30:00 AM CEST,49.00,249200.00,4.59,96.00,47.10
16-Apr-19 4:45:00 AM CEST,49.00,253500.00,4.58,97.00,48.10
16-Apr-19 5:00:00 AM CEST,49.00,250300.00,4.54,97.00,47.90
16-Apr-19 5:15:00 AM CEST,49.00,251800.00,4.58,97.00,47.70
16-Apr-19 5:30:00 AM CEST,49.00,323500.00,5.90,97.00,47.70
16-Apr-19 5:45:00 AM CEST,49.00,306700.00,5.63,97.00,47.40
16-Apr-19 6:00:00 AM CEST,53.00,425400.00,8.38,97.00,44.20
16-Apr-19 6:15:00 AM CEST,52.00,313400.00,6.11,97.00,44.60
16-Apr-19 6:30:00 AM CEST,52.00,323900.00,6.41,96.00,44.00
16-Apr-19 6:45:00 AM CEST,52.00,356800.00,7.16,96.00,43.40
16-Apr-19 7:00:00 AM CEST,52.00,355000.00,7.16,95.00,43.20
16-Apr-19 7:15:00 AM CEST,52.00,359500.00,7.05,96.00,44.40
16-Apr-19 7:30:00 AM CEST,52.00,356300.00,7.16,95.00,43.30
16-Apr-19 7:45:00 AM CEST,52.00,347600.00,7.14,94.00,42.40
16-Apr-19 8:00:00 AM CEST,52.00,353100.00,6.83,97.00,45.00
16-Apr-19 8:15:00 AM CEST,53.00,383100.00,7.44,98.00,44.80
16-Apr-19 8:30:00 AM CEST,52.00,362100.00,7.04,97.00,44.80
16-Apr-19 8:45:00 AM CEST,52.00,333000.00,6.55,97.00,44.20
16-Apr-19 9:00:00 AM CEST,52.00,304500.00,5.92,97.00,44.80
16-Apr-19 9:15:00 AM CEST,52.00,310700.00,6.10,96.00,44.30
16-Apr-19 9:30:00 AM CEST,52.00,307500.00,6.03,96.00,44.40
16-Apr-19 9:45:00 AM CEST,52.00,301200.00,5.93,96.00,44.20
16-Apr-19 10:00:00 AM CEST,52.00,284000.00,5.58,97.00,44.30
16-Apr-19 10:15:00 AM CEST,52.00,255400.00,4.99,96.00,44.50
16-Apr-19 10:30:00 AM CEST,51.00,323100.00,6.32,95.00,44.50
